"","x"
"215",2
"216",2
"217",2
"218",2
"219",2
"220",2
"221",1
"222",2
"223",1
"224",1
"225",2
"226",1
"227",2
"228",2
"229",2
"230",2
"231",2
"232",2
"233",1
"234",2
"235",2
"236",2
"237",2
"238",2
"239",2
"240",2
"241",1
"242",2
"243",1
"244",2
"245",1
"246",2
"247",2
"248",1
"249",1
"250",2
"251",1
"252",2
"253",2
"254",2
"255",2
"256",2
"257",2
"258",2
"259",2
"260",2
"261",2
"262",2
"263",1
"264",1
"265",1
"266",1
"267",1
"268",2
"269",2
"270",2
"271",1
"272",2
"273",2
"274",2
"275",2
"276",1
"277",2
"278",1
"279",2
"280",2
"281",2
"282",1
"283",1
"284",2
"285",2
"286",2
"287",1
"288",2
"289",2
"290",1
"291",2
"292",1
"293",2
"294",2
"295",2
"296",2
"297",1
"298",2
"299",2
"300",1
"301",1
"302",2
"303",2
"304",2
"305",2
"306",2
"307",1
"308",2
"309",1
"310",1
"311",1
"312",1
"313",2
"314",1
"315",1
"316",1
"317",2
"318",2
"319",2
"320",2
"321",2
"322",1
"323",1
"324",2
"325",2
"326",2
"327",2
"328",2
"329",2
"330",2
"331",2
"332",1
"333",2
"334",2
"335",2
"336",2
"337",2
"338",1
"339",2
"340",1
"341",1
"342",2
"343",2
"344",2
"345",2
"346",2
"347",1
"348",1
"349",2
"350",2
"351",1
"352",2
"353",1
"354",2
"355",2
"356",2
"357",2
"358",1
"359",2
"360",2
"361",2
"362",2
"363",2
"364",1
"365",1
"366",2
"367",1
"368",1
"369",1
"370",2
"371",2
"372",2
"373",1
"374",2
"375",1
"376",2
"377",2
"378",1
"379",2
"380",2
"381",1
"382",2
"383",1
"384",1
"385",2
"386",2
"387",2
"388",1
"389",2
"390",2
"391",1
"392",2
"393",1
"394",1
"395",2
"396",2
"397",2
"398",1
"399",2
"400",1
"401",2
"402",2
"403",2
"404",2
"405",2
"406",2
"407",2
"408",2
"409",1
"410",2
"411",2
"412",2
"413",2
"414",1
"415",2
"416",2
"417",2
"418",2
"419",1
"420",2
"421",1
"422",1
"423",2
"424",2
"425",1
"426",2
"427",1
"428",2
"429",2
"430",2
"431",1
"432",2
"433",2
"434",1
"435",2
"436",1
"437",2
"438",2
"439",2
"440",1
"441",2
"442",1
"443",2
"444",2
"445",2
"446",1
"447",2
"448",2
"449",2
"450",2
"451",1
"452",2
"453",1
"454",2
"455",2
"456",1
"457",2
"458",2
"459",1
"460",1
"461",2
"462",1
"463",1
"464",2
"465",1
"466",1
"467",2
"468",2
"469",2
"470",2
"471",2
"472",2
"473",1
"474",2
"475",1
"476",2
"477",1
"478",2
"479",1
"480",1
"481",2
"482",1
"483",2
"484",2
"485",2
"486",2
"487",2
"488",1
"489",1
"490",2
"491",1
"492",2
"493",2
"494",2
"495",2
"496",1
"497",1
"498",2
"499",1
"500",2
"501",2
"502",1
"503",2
"504",1
"505",2
"506",2
"507",2
"508",1
"509",1
"510",2
"511",1
"512",1
"513",2
"514",2
"515",1
"516",1
"517",2
"518",2
"519",1
"520",2
"521",2
"522",2
"523",2
"524",2
"525",2
"526",1
"527",1
"528",2
"529",1
"530",2
"531",1
"532",1
"533",2
"534",2
"535",1
"536",2
"537",2
"538",2
"539",2
"540",1
"541",2
"542",2
"543",2
"544",1
"545",1
"546",2
"547",2
"548",2
"549",2
"550",1
"551",2
"552",1
"553",2
"554",1
"555",2
"556",2
"557",2
"558",2
"559",1
"560",2
"561",2
"562",2
"563",2
"564",1
"565",1
"566",2
"567",1
"568",1
"569",2
"570",2
"571",2
"572",2
"573",2
"574",2
"575",1
"576",1
"577",2
"578",2
"579",2
"580",2
"581",2
"582",1
"583",1
"584",2
"585",1
"586",2
"587",2
"588",2
"589",2
"590",2
"591",2
"592",1
"593",2
"594",2
"595",2
"596",2
"597",1
"598",1
"599",2
"600",1
"601",1
"602",2
"603",2
"604",1
"605",2
"606",1
"607",1
"608",1
"609",2
"610",1
"611",1
"612",1
"613",2
"614",2
"615",2
"616",1
"617",2
"618",2
"619",2
"620",2
"621",1
"622",2
"623",1
"624",2
"625",1
"626",2
"627",1
"628",2
"629",1
"630",2
"631",1
"632",2
"633",2
"634",2
"635",2
"636",2
"637",2
"638",2
"639",2
"640",1
"641",2
"642",1
"643",2
"644",1
"645",2
"646",1
"647",2
"648",1
"649",2
"650",2
"651",1
"652",2
"653",2
"654",1
"655",2
"656",1
"657",2
"658",2
"659",2
"660",2
"661",2
"662",2
"663",2
"664",1
"665",1
"666",1
"667",1
"668",2
"669",1
"670",1
"671",1
"672",1
"673",1
"674",2
"675",2
"676",2
"677",1
"678",2
"679",1
"680",2
"681",2
"682",1
"683",1
"684",2
"685",2
"686",1
"687",2
"688",2
"689",2
"690",1
"691",2
"692",2
"693",2
"694",1
"695",2
"696",2
"697",2
"698",2
"699",1
"700",2
"701",2
"702",2
"703",2
"704",1
"705",2
"706",1
"707",1
"708",2
"709",1
"710",1
"711",2
"712",1
"713",1
"714",2
"715",2
"716",2
"717",2
"718",2
"719",1
"720",2
"721",2
"722",2
"723",1
"724",1
"725",2
"726",2
"727",2
"728",2
"729",2
"730",2
"731",1
"732",2
"733",2
"734",1
"735",1
"736",2
"737",1
"738",2
"739",2
"740",2
"741",2
"742",1
"743",1
"744",2
"745",1
"746",2
"747",2
"748",2
"749",2
"750",1
"751",1
"752",2
"753",2
"754",2
"755",2
"756",2
"757",1
"758",2
"759",2
"760",1
"761",1
"762",2
"763",2
"764",1
"765",2
"766",1
"767",2
"768",2
"769",2
"770",2
"771",2
"772",2
"773",2
"774",1
"775",2
"776",2
"777",2
"778",2
"779",1
"780",2
"781",2
"782",2
"783",2
"784",1
"785",2
"786",2
"787",2
"788",1
"789",2
"790",2
"791",2
"792",2
"793",1
"794",2
"795",2
"796",2
"797",1
"798",1
"799",1
"800",2
"801",2
"802",2
"803",2
"804",2
"805",1
"806",1
"807",2
"808",2
"809",2
"810",1
"811",1
"812",1
"813",2
"814",2
"815",1
"816",1
"817",2
"818",2
"819",2
"820",1
"821",2
"822",2
"823",1
"824",1
"825",1
"826",2
"827",2
"828",2
"829",1
"830",1
"831",1
"832",1
"833",1
"834",2
"835",2
"836",2
"837",2
"838",2
"839",2
"840",2
"841",2
"842",2
"843",2
"844",2
"845",1
"846",1
"847",2
"848",2
"849",2
"850",2
"851",2
"852",1
"853",2
"854",2
"855",2
"856",1
"857",2
"858",2
"859",2
"860",2
"861",2
"862",2
"863",2
"864",2
"865",2
"866",2
"867",2
"868",1
"869",2
"870",1
"871",2
"872",2
"873",2
"874",1
"875",1
"876",2
"877",2
"878",1
"879",1
"880",2
"881",2
"882",1
"883",2
"884",1
"885",1
"886",1
"887",2
"888",2
"889",2
"890",2
"891",1
"892",2
"893",2
"894",1
"895",2
"896",2
"897",2
"898",2
"899",1
"900",2
"901",1
"902",1
"903",1
"904",1
"905",2
"906",1
"907",1
"908",1
"909",1
"910",2
"911",2
"912",2
"913",2
"914",2
"915",2
"916",2
"917",1
"918",2
"919",2
"920",1
"921",2
"922",2
"923",2
"924",1
"925",2
"926",2
"927",2
"928",2
"929",2
"930",2
"931",2
"932",1
"933",2
"934",1
"935",2
"936",1
"937",2
"938",1
"939",2
"940",1
"941",1
"942",2
"943",2
"944",2
"945",1
"946",2
"947",2
"948",2
"949",1
"950",2
"951",1
"952",2
"953",1
"954",1
"955",2
"956",1
"957",1
"958",1
"959",1
"960",2
"961",2
"962",2
"963",2
"964",2
"965",2
"966",2
"967",2
"968",2
"969",1
"970",2
"971",2
"972",2
"973",2
"974",2
"975",1
"976",2
"977",2
"978",2
"979",2
"980",2
"981",1
"982",2
"983",1
"984",1
"985",2
"986",2
"987",2
"988",1
"989",2
"990",1
"991",2
"992",1
"993",1
"994",2
"995",2
"996",2
"997",2
"998",1
"999",1
"1000",2
"1001",1
"1002",1
"1003",1
"1004",1
"1005",2
"1006",1
"1007",2
"1008",2
"1009",2
"1010",2
"1011",2
"1012",2
"1013",2
"1014",2
"1015",2
"1016",2
"1017",2
"1018",1
"1019",1
"1020",2
"1021",2
"1022",2
"1023",2
"1024",2
"1025",2
"1026",1
"1027",1
"1028",2
"1029",1
"1030",2
"1031",1
"1032",2
"1033",1
"1034",2
"1035",2
"1036",2
"1037",1
"1038",2
"1039",2
